paper_id,final_decision
dbe1e9d1911e,include
75d6acf76068,include
772c12c0af17,include
26d9ab80fc82,include
da6daad97e37,include
955dd8044889,include
8a2ce0575ff1,include
2a9cd8a96604,include
6cc92982a581,include
5f3cabc4cfc6,include
c945ded90aa0,include
69bfce9095d0,include
136790c5fbc5,include
c7c7d7851588,include
b9ec84f4d48c,include
dd43141323b8,include
aa74f873e447,include
7b4b01100661,include
6f139839ae4c,include
d919ba675da3,include
4d0406b8b736,include
52d4de91b1d0,include
275c6ba05906,include
c923ebc5e1dc,include
70217d6e8f7f,include
9adffa072aa7,include
5beb1712456c,include
ac9a031452bb,include
26668f5bb362,include
5df5e7a67f88,include
953d9d489a99,include
34a559434eb1,include
c88af75b0b9f,include
9170a0c2d3a2,include
2abf80ef91e3,include
6551716f95c0,include
47412220e1bb,include
c44a5eb1ea97,include
223ed1df56d0,include
3a533a166c84,include
cdf086342387,include
a254f338377d,include
d24184e88415,include
74c6ac2ca350,include
685e76bf45ae,include
9fd619b02b3e,include
e6ece474516c,include
ddd77f0637f4,include
7012f13a70a3,include
77f0bbb6e5f3,include
c46b48afaa7c,include
cded9dd64213,include
e667225d4f3c,include
0929ef4fdc91,include
36cd7ccae10c,include
9be7c1fe15c2,include
3745da394b88,include
0b549647c8e5,include
e2976806d26c,include
a82edc88ba8d,include
291abba8a19e,include
394db2cbf8da,include
63af985e2b4e,include
abf670013010,include
e9e49c657667,include
8e2194183afe,include
e69606eda4d4,include
81146d2c9f2a,include
9f2d4ce48167,include
1696f0ac9e8f,include
a559d0de0c01,include
e40a21367703,include
7f1c3d63f9e8,include
1312e9d3c55e,include
7f09d7df1f04,include
e9b892fcd6fc,include
51c76454c0ce,include
db261ea6c735,include
cf30c27e711a,include
ccdba169348e,include
cf9049abcad1,include
0030bd185e0d,include
b9793b3d8619,include
631717352091,include
596d3496c56c,include
342ce43a11d1,include
798667d343b2,include
36432eaf1f31,include
871c63b61487,include
0a96ec74c59f,include
fea476c8c499,include
a4c29a22413b,include
9242f9c3e9d3,include
c759041ceebc,include
0128a49a10cc,include
78b97b2dbd8e,include
6257d900d3ef,include
30c35313cb34,include
cbc953d2f213,include
40ca827d69b9,include
fd31c17753a0,include
64beee021f17,include
46e6281cc0ea,include
e4cc3a4835ea,include
379bb44b511e,include
115e509ec529,include
455f0fa41521,include
1c4934de7d9a,include
6770775560f2,include
75a7b04fa681,include
64a4167a442c,include
7055fc9f6caf,include
858a41cdb5b2,include
5c6681f9692d,include
dd846d58c0b9,include
7eefd96d7f06,include
26908b5e0542,include
01326ce2213f,include
b94d98f5a637,include
bc8d838c7545,include
97969b2619bb,include
6efef91ff33f,include
d388ccd2fff8,include
5f49a38c731d,include
01e7ba36bcfc,include
1de0ca5e8cf2,include
ea4504852540,include
a426a8634e23,include
d336b9221e67,include
d8858dd025e5,include
d560c2df6ac0,include
0d70169cb87f,include
e0a04002122e,include
81a3d1f2001c,include
f4e582f59d68,include
d37354bd1037,include
1b554a506320,include
bcd1adfba1e5,include
aeba35e547c4,include
629ad7ff1054,include
c47a454352d5,include
5bd5a79bc18a,include
176f4217cb91,include
ef5568395d8c,include
dd4a45af4eb4,include
7c2e539656f7,include
1858371f4c44,include
8d9fbaf6510b,include
b660e6ffe7f2,include
f054252b17db,include
8a2a16ffc826,include
313b9bc5d24e,include
97c9788bb14b,include
f4e9c93acb94,include
17bf34700dca,include
2a5efc7b8178,include
20bf1514a7e4,include
4eb84ca51d29,include
add09b8c5e11,include
0419801c5ed8,include
d76ce1e8a91b,include
344dc568ca5d,include
b1aad69bad2c,include
0fb8e2505865,include
8e9d2c7faf8e,include
6e6696a9c05a,include
a801ca3560e0,include
f90adf90a78a,include
