paper_id,ai_decision,ai_rank,ai_confidence
1c9b5d691d21,include,210,0.6607
14fdfddd83c1,include,211,0.6607
ff46fac9e8e5,include,212,0.6607
4e5a1a37eade,include,213,0.6607
c945ded90aa0,include,214,0.6607
980e150d15d2,include,215,0.6607
e63767c8d5e7,include,216,0.6607
8dd5dde4f3f8,include,217,0.6607
1993ad0237f3,include,218,0.6607
ebac20168d17,include,219,0.6606
d3bab0891316,include,220,0.6606
30582038a7ba,include,221,0.6606
a2e7d43fddd4,include,222,0.6606
e6656ef470fb,include,223,0.6606
0d3ad1cebc4f,include,224,0.6606
b58f4a78e015,include,225,0.6606
5c9fef8c2825,include,226,0.6606
f84a936b273b,include,227,0.6606
de580e8c085e,include,228,0.6605
6bb18cfb9e04,include,229,0.6605
d3288e4e9fd8,include,230,0.6605
a214f7b21d6c,include,231,0.6605
1938aae185de,include,232,0.6605
28ab67c2d22a,include,233,0.6605
f407c516e84f,include,234,0.6605
00c17032f4af,include,235,0.6605
f61144bed6cc,include,236,0.6605
c459e5fdfbdc,include,237,0.6605
313a1d740d27,include,238,0.6605
dbeeb4beade9,include,239,0.6604
b8d45bd6ab6d,include,240,0.6604
f3c58d4ec6ad,include,241,0.6604
a83e3ff80810,include,242,0.6604
c50cff63fd9e,include,243,0.6604
f7f4962052be,include,244,0.6604
f123e5ead03b,include,245,0.6604
69bf4c1b7cbe,include,246,0.6604
413125f4264b,include,247,0.6604
fe91ad8edae4,include,248,0.6603
f80b91b253de,include,249,0.6603
67966deed568,include,250,0.6603
e3f607c31738,include,251,0.6603
b6063998e65d,include,252,0.6603
bbf0e3662d3c,include,253,0.6603
6d5768682408,include,254,0.6603
5cf59c9d0438,include,255,0.6603
914ea9b006b5,include,256,0.6602
dfca7435a13e,include,257,0.6602
afa84e1d94cf,include,258,0.6602
355d64e249dc,include,259,0.6602
923c14223a08,include,260,0.6602
a07dffd5f70b,include,261,0.6602
69a4901976a9,include,262,0.6602
2dda1d1ec394,include,263,0.6602
07e4aea9696d,include,264,0.6602
266f81b4ac03,include,265,0.6602
2724eb4769a3,include,266,0.6602
b76456b2e7eb,include,267,0.6602
539aec92356c,include,268,0.6602
b660e6ffe7f2,include,269,0.6601
8928ed18e85e,include,270,0.6601
2ed48b56028c,include,271,0.6601
381642996201,include,272,0.6601
0c49909a73ca,include,273,0.6601
dda7775da9aa,include,274,0.6601
52b948ec890d,include,275,0.6601
3a4b78215cc7,include,276,0.6601
e4bb7333aaa5,include,277,0.6601
f42186dd3ba7,include,278,0.6601
bad1903fedda,include,279,0.6601
084ef0fa0219,include,280,0.6601
56176dc5f8a2,include,281,0.6600
42bf92004372,include,282,0.6600
6d0228254380,include,283,0.6600
99d020ab5b12,include,284,0.6600
c554e771cf91,include,285,0.6600
b69e5fca1ee6,include,286,0.6600
4f219fe0ac1b,include,287,0.6600
7f5135581c08,include,288,0.6600
7cf47d732c00,include,289,0.6600
7b4b01100661,include,290,0.6600
333fcec01f3c,include,291,0.6600
8273c874208a,include,292,0.6599
3a49dfa36a75,include,293,0.6599
58e7ea9324df,include,294,0.6599
7674244c8696,include,295,0.6599
5081ec6b6068,include,296,0.6599
3ecd800cb47d,include,297,0.6599
5a37fc259055,include,298,0.6599
d8858dd025e5,include,299,0.6599
90c75101dec0,include,300,0.6599
78cc9d5068f3,include,301,0.6599
45eeaf97f6f9,include,302,0.6599
b9bbd2d099f0,include,303,0.6599
3578e84deba9,include,304,0.6599
ba9b439040f0,include,305,0.6599
40e4c7fdd4ac,include,306,0.6599
cbc953d2f213,include,307,0.6599
7f2968bca2cc,include,308,0.6599
623597ee0f9c,include,309,0.6599
c57f6422ed7b,include,310,0.6598
a8d422e3b222,include,311,0.6598
918b8a5f698d,include,312,0.6598
34638dc631aa,include,313,0.6598
d429e0713a3d,include,314,0.6598
753bbdcd489d,include,315,0.6598
7012f13a70a3,include,316,0.6598
69d6b22bf76c,include,317,0.6598
79be4656d153,include,318,0.6598
47f4148f90dd,include,319,0.6598
3b4ab6fd199d,include,320,0.6598
8ab843acc808,include,321,0.6597
1312e9d3c55e,include,322,0.6597
c7df20032013,include,323,0.6597
45b4b55f62a0,include,324,0.6597
b2d1ecba06d3,include,325,0.6597
4ca8d42700a5,include,326,0.6597
acc55c7d6a2a,include,327,0.6597
b4397d93ce2f,include,328,0.6597
f35b471dd0e9,include,329,0.6597
fecff5249e72,include,330,0.6597
eb9b2edee442,include,331,0.6597
320f6af2c3c3,include,332,0.6597
ae11b084b443,include,333,0.6597
2de072636285,include,334,0.6597
e366a47d08de,include,335,0.6597
d24184e88415,include,336,0.6597
7de8f75ab0e0,include,337,0.6596
0c1e775cac88,include,338,0.6596
1377d17f7649,include,339,0.6596
a7b3e49448d1,include,340,0.6596
fddc282dba6f,include,341,0.6596
f5ef23cc1373,include,342,0.6596
e6d5993eabdd,include,343,0.6596
50989fdc9ad1,include,344,0.6596
49dc03e35036,include,345,0.6596
c368d34620bf,include,346,0.6596
c4a9c7b30ca0,include,347,0.6596
de8a36411074,include,348,0.6596
2b48b0e90efa,include,349,0.6595
81f92de64876,include,350,0.6595
8a2ce0575ff1,include,351,0.6595
a254eea1f1d3,include,352,0.6595
601342698bf8,include,353,0.6595
faa5c7c2e933,include,354,0.6595
83317aae0ec0,include,355,0.6595
560d9d98e1cf,include,356,0.6595
5349cca855f9,include,357,0.6595
87332865866b,include,358,0.6595
344e559149f0,include,359,0.6595
6e5c81beaefd,include,360,0.6594
7c795b799d02,include,361,0.6594
9a08c18dcfb8,include,362,0.6594
f85bdc99d9eb,include,363,0.6594
d843fc13b782,include,364,0.6594
a01f6e902e50,include,365,0.6594
69f37720655c,include,366,0.6594
652f435562db,include,367,0.6594
94c20ec9fc42,include,368,0.6594
34fc27290f18,include,369,0.6594
c07bf2c04ef9,include,370,0.6594
6dde72dee12e,include,371,0.6594
c99a158445ec,include,372,0.6594
f4883fc328d4,include,373,0.6594
a46c5a11b5dd,include,374,0.6594
2322e385b8e7,include,375,0.6594
814040fcfdb1,include,376,0.6594
93ff9980959f,include,377,0.6594
305e196564db,include,378,0.6593
3baa4fe5997b,include,379,0.6593
6ac0d0a3c55a,include,380,0.6593
1131fdc73bf5,include,381,0.6593
3716460f49f0,include,382,0.6593
7eefd96d7f06,include,383,0.6593
3fab5659cbf9,include,384,0.6593
c6d03068fd05,include,385,0.6593
674c681a57d0,include,386,0.6593
c1c095fefec7,include,387,0.6593
ee174c1b524e,include,388,0.6593
33589697b330,include,389,0.6593
b443485b86a7,include,390,0.6592
5a9835a859bf,include,391,0.6592
1408969938cb,include,392,0.6592
3e373f43ba5b,include,393,0.6592
6a91efccfe86,include,394,0.6592
374f88893a40,include,395,0.6592
ccf7dc01127c,include,396,0.6592
bf12463fd336,include,397,0.6592
223ed1df56d0,include,398,0.6592
71e349feba65,include,399,0.6592
064edeace6a1,include,400,0.6592
dca63675e36a,include,401,0.6592
871c63b61487,include,402,0.6592
dd64e4b7315d,include,403,0.6592
56d3406d0060,include,404,0.6592
4bfe441a5ebe,include,405,0.6592
3f4c5ad6749d,include,406,0.6591
435240ca6a5e,include,407,0.6591
5f3cabc4cfc6,include,408,0.6591
df75588a0f00,include,409,0.6591
abf670013010,include,410,0.6591
a9db14e5bf40,include,411,0.6591
438a4866b835,include,412,0.6591
a94016f5fe4c,include,413,0.6591
f3fca17ab5b9,include,414,0.6591
e14997ee339a,include,415,0.6591
0030bd185e0d,include,416,0.6591
94b9e4799c78,include,417,0.6591
e41a9ec8651b,include,418,0.6591
19cfac96e8fe,include,419,0.6591
e01b4d39659a,include,420,0.6591
631717352091,include,421,0.6591
8b4dfc5bda00,include,422,0.6590
d03a5160a84d,include,423,0.6590
7a159ec77866,include,424,0.6590
2e00d005c2d6,include,425,0.6590
371491206a2d,include,426,0.6590
1d44742c9e15,include,427,0.6590
ff9590d2d73c,include,428,0.6590
ccc47b5f0325,include,429,0.6590
8ca6fddc5f28,include,430,0.6590
1a201d2a908d,include,431,0.6590
670552f20c08,include,432,0.6590
1a0d37057236,include,433,0.6590
5d0b65cd054b,include,434,0.6590
f6c404e63d0f,include,435,0.6590
10b907aecef2,include,436,0.6590
646bd6bbd935,include,437,0.6590
744b0030569f,include,438,0.6590
47e7c9727716,include,439,0.6590
dc81543095d7,include,440,0.6590
29c61489dc19,include,441,0.6590
cdf086342387,include,442,0.6590
bc9934e1d9ae,include,443,0.6590
a548908100f8,include,444,0.6590
35cb421cb672,include,445,0.6590
facfbb52d1c8,include,446,0.6590
683bece8f94d,include,447,0.6590
4ee4d5f63858,include,448,0.6590
14e5ede92ee3,include,449,0.6589
ce2db00aac7a,include,450,0.6589
249b9e3ca6ca,include,451,0.6589
e4f0b279bc74,include,452,0.6589
a538cd2dc13c,include,453,0.6589
35507c982d46,include,454,0.6589
266076503780,include,455,0.6589
22fe2d3f461c,include,456,0.6589
d349fc59251c,include,457,0.6589
cdcfb3641d11,include,458,0.6589
91d5061083cf,include,459,0.6589
7290c9df8495,include,460,0.6589
d1e6a91e7f11,include,461,0.6589
e7cef58b688d,include,462,0.6589
7f05070ca8d9,include,463,0.6589
11aa443287c0,include,464,0.6589
75eee58caf3a,include,465,0.6589
9405b3330b09,include,466,0.6589
c0da85ef2954,include,467,0.6589
75a7b04fa681,include,468,0.6589
267d884ec627,include,469,0.6589
4fae01b427bf,include,470,0.6589
66c3f7c0b3fa,include,471,0.6589
3fe31dea1f88,include,472,0.6589
fab6f3be3c0b,include,473,0.6589
33aea1fbfb3e,include,474,0.6589
0eb7690657f2,include,475,0.6588
bd5148de917c,include,476,0.6588
da768cd478c3,include,477,0.6588
f6f02d1125ec,include,478,0.6588
82475e54c193,include,479,0.6588
ebbdd376073e,include,480,0.6588
20e9442a73f0,include,481,0.6588
e1288a3abc99,include,482,0.6588
363e6edfe7ec,include,483,0.6588
b116c09ae804,include,484,0.6588
930993e43694,include,485,0.6588
0e891bc16c5d,include,486,0.6588
e6728e13803e,include,487,0.6588
374d8058ad85,include,488,0.6588
288305d31b7d,include,489,0.6587
374f071da150,include,490,0.6587
39b2bf9c72f7,include,491,0.6587
55d6d3a7bff4,include,492,0.6587
e0777eabf902,include,493,0.6587
27ca5392ded1,include,494,0.6587
bda61984dab6,include,495,0.6587
4dfbf545b513,include,496,0.6587
5308fd4d7e17,include,497,0.6587
81229612a876,include,498,0.6587
93a7b6c5090c,include,499,0.6587
4d0406b8b736,include,500,0.6587
c44a5eb1ea97,include,501,0.6587
f7287f5bd9b7,include,502,0.6587
67aafe248e3b,include,503,0.6587
1364a8bd9dd5,include,504,0.6587
c5fa20e739f7,include,505,0.6587
b5820c538b42,include,506,0.6587
311bac170c43,include,507,0.6587
8248c1859e99,include,508,0.6587
f90adf90a78a,include,509,0.6587
ed111831958f,include,510,0.6586
6d56eb5e62f8,include,511,0.6586
1b7d8c497d7d,include,512,0.6586
dc8dc940ba18,include,513,0.6586
043c86dcf856,include,514,0.6586
eb0c39bcd618,include,515,0.6586
f570d95b26f4,include,516,0.6586
84607718e1d1,include,517,0.6586
768ce420df26,include,518,0.6586
a1b3ee903c9c,include,519,0.6586
764ad00b41d8,include,520,0.6586
3490f229360e,include,521,0.6586
b753486d909e,include,522,0.6586
6f139839ae4c,include,523,0.6586
14ceb7e36df7,include,524,0.6586
09235fec074a,include,525,0.6586
8e9d2c7faf8e,include,526,0.6586
ad79bfb0cfd8,include,527,0.6586
b53810c19fef,include,528,0.6586
6377e377053e,include,529,0.6586
7dd27ce5eeb2,include,530,0.6586
320ac2390210,include,531,0.6585
eed6e245a958,include,532,0.6585
045306ad1a16,include,533,0.6585
7d041bc56e82,include,534,0.6585
7e5d0a8fc172,include,535,0.6585
160c7e4ac19a,include,536,0.6585
41117d70ce75,include,537,0.6585
b799681e41da,include,538,0.6585
85e9109e6bb0,include,539,0.6585
41e2aacecb71,include,540,0.6585
66f43397ba83,include,541,0.6585
121ada5f7f33,include,542,0.6585
a0bb411d1801,include,543,0.6585
e61bdc9ca67c,include,544,0.6585
30ae711ceb51,include,545,0.6585
502db4d4e7bd,include,546,0.6585
a9fb068595f2,include,547,0.6585
709de62439b0,include,548,0.6585
32d4138aa9a9,include,549,0.6585
ff4a0b1ea951,include,550,0.6585
c9ac8265d971,include,551,0.6584
38fb4cff88e5,include,552,0.6584
f5008829f953,include,553,0.6584
4569d0df52ed,include,554,0.6584
59e893a5a73f,include,555,0.6584
687255f02e71,include,556,0.6584
d43914334783,include,557,0.6584
67d46e29ec7f,include,558,0.6584
5413b7728054,include,559,0.6584
3c101b095394,include,560,0.6584
5f1b1731f44b,include,561,0.6584
1bed86c48957,include,562,0.6584
993023f7ed18,include,563,0.6584
c434305b37fb,include,564,0.6584
c065a97bd065,include,565,0.6584
8e431c2a2616,include,566,0.6584
bcb3f9afc891,include,567,0.6584
55e96c75f641,include,568,0.6584
3b7d3889d285,include,569,0.6584
2b18608f6860,include,570,0.6584
47412220e1bb,include,571,0.6584
8154d6cc12dd,include,572,0.6584
95b62dc87aff,include,573,0.6584
cc1442611f8f,include,574,0.6583
7f91dcfbca63,include,575,0.6583
3d9e0dee0f26,include,576,0.6583
48cd8220e3b2,include,577,0.6583
37cf5f16057c,include,578,0.6583
191bd4e2531b,include,579,0.6583
f93112e0b03a,include,580,0.6583
a4777ce71497,include,581,0.6583
88e005f67ca2,include,582,0.6583
c56a3ba7d912,include,583,0.6583
07e7cb251260,include,584,0.6583
17f0357b6911,include,585,0.6583
